Date,Price,Open,High,Low,Vol.,Change %
"May 04, 2022",38715.0,37717.0,39161.0,37660.0,466.52M,2.64%
"May 03, 2022",37718.0,38515.0,38647.0,37513.0,367.21M,-2.07%
"May 02, 2022",38514.0,38472.0,39134.0,38061.0,580.79M,0.14%
"May 01, 2022",38461.0,37642.0,38676.0,37397.0,276.99M,2.15%
"Apr 30, 2022",37650.0,38590.0,38776.0,37596.0,248.22M,-2.41%
"Apr 29, 2022",38581.0,39748.0,39919.0,38175.0,382.90M,-2.94%
"Apr 28, 2022",39748.0,39243.0,40382.0,38888.0,542.39M,1.29%
"Apr 27, 2022",39243.0,38113.0,39447.0,37869.0,426.83M,2.96%
"Apr 26, 2022",38113.0,40443.0,40770.0,37708.0,681.47M,-5.72%
"Apr 25, 2022",40427.0,39464.0,40599.0,38233.0,654.60M,2.44%
"Apr 24, 2022",39464.0,39434.0,39929.0,39033.0,283.63M,0.12%
"Apr 23, 2022",39418.0,39709.0,39973.0,39291.0,190.60M,-0.73%
"Apr 22, 2022",39709.0,40487.0,40792.0,39200.0,421.30M,-1.91%
"Apr 21, 2022",40482.0,41370.0,42969.0,39793.0,493.05M,-2.14%
"Apr 20, 2022",41368.0,41499.0,42203.0,40915.0,382.84M,-0.33%
"Apr 19, 2022",41503.0,40809.0,41746.0,40585.0,268.28M,1.72%
"Apr 18, 2022",40803.0,39700.0,41095.0,38577.0,484.26M,2.77%
"Apr 17, 2022",39703.0,40382.0,40599.0,39561.0,210.01M,-1.68%
"Apr 16, 2022",40382.0,40571.0,40691.0,40003.0,151.31M,-0.44%
"Apr 15, 2022",40560.0,39936.0,40850.0,39781.0,233.09M,1.56%
"Apr 14, 2022",39936.0,41133.0,41494.0,39585.0,294.29M,-2.91%
"Apr 13, 2022",41133.0,40072.0,41515.0,39581.0,406.70M,2.63%
"Apr 12, 2022",40078.0,39507.0,40678.0,39265.0,468.27M,1.47%
"Apr 11, 2022",39497.0,42144.0,42418.0,39202.0,608.38M,-6.27%
"Apr 10, 2022",42138.0,42760.0,43421.0,41884.0,255.83M,-1.47%
"Apr 09, 2022",42767.0,42275.0,42809.0,42129.0,165.16M,1.16%
"Apr 08, 2022",42275.0,43450.0,43979.0,42113.0,467.83M,-2.70%
"Apr 07, 2022",43448.0,43166.0,43893.0,42747.0,390.85M,0.64%
"Apr 06, 2022",43173.0,45494.0,45519.0,43122.0,649.52M,-5.13%
"Apr 05, 2022",45506.0,46614.0,47201.0,45388.0,421.11M,-2.41%
"Apr 04, 2022",46629.0,46407.0,46899.0,45152.0,446.12M,0.48%
